id_match,home_team,away_team,home_score,away_score,tournament,kick-off,stadium,attendance,torneio,locale,resultado,gols_casa,gols_sofridos_casa,gols_fora,gols_sofridos_fora,marcou_gol,sofreu_gol,jogos_cumulativos,year,month,weekday
BR1,Atlético-GO,Flamengo,1,2,Campeonato Brasileiro - Round 1,2024-04-14 16:00:00,Serra Dourada-GO,35195,Campeonato Brasileiro,Fora,Vitória,0,0,2,1,Sim,Sim,20,2024,Apr,Sun
BR2,Flamengo,São Paulo,2,1,Campeonato Brasileiro - Round 2,2024-04-17 21:30:00,Maracanã-RJ,48103,Campeonato Brasileiro,Casa,Vitória,2,1,0,0,Sim,Sim,21,2024,Apr,Wed
BR3,Palmeiras,Flamengo,0,0,Campeonato Brasileiro - Round 3,2024-04-21 16:00:00,Allianz Arena-SP,29956,Campeonato Brasileiro,Fora,Empate,0,0,0,0,Não,Não,22,2024,Apr,Sun
LIB3,Bolívar-BOL,Flamengo,2,1,Copa Libertadores - Round 3,2024-04-24 21:30:00,Hernando Siles-BOL,22620,Copa Libertadores,Fora,Derrota,0,0,1,2,Sim,Sim,23,2024,Apr,Wed
BR4,Flamengo,Botafogo,0,2,Campeonato Brasileiro - Round 4,2024-04-28 11:00:00,Maracanã-RJ,46798,Campeonato Brasileiro,Casa,Derrota,0,2,0,0,Não,Sim,24,2024,Apr,Sun
CB1,Flamengo,Amazonas-AM,1,0,Copa do Brasil - Round 3 - First leg,2024-05-01 21:30:00,Maracanã-RJ,39015,Copa do Brasil,Casa,Vitória,1,0,0,0,Sim,Não,25,2024,May,Wed
BR5,Bragantino,Flamengo,1,1,Campeonato Brasileiro - Round 5,2024-05-04 18:30:00,Nabi Abi Chedid-SP,9971,Campeonato Brasileiro,Fora,Empate,0,0,1,1,Sim,Sim,26,2024,May,Sat
LIB4,Palestino-CHI,Flamengo,1,0,Copa Libertadores - Round 4,2024-05-07 21:00:00,Francisco Sánchez Rumoroso-CHI,4217,Copa Libertadores,Fora,Derrota,0,0,0,1,Não,Sim,27,2024,May,Tue
BR6,Flamengo,Corinthians,2,0,Campeonato Brasileiro - Round 6,2024-05-11 16:00:00,Maracanã-RJ,56829,Campeonato Brasileiro,Casa,Vitória,2,0,0,0,Sim,Não,28,2024,May,Sat
LIB5,Flamengo,Bolívar-BOL,4,0,Copa Libertadores - Round 5,2024-05-15 21:30:00,Maracanã-RJ,63169,Copa Libertadores,Casa,Vitória,4,0,0,0,Sim,Não,29,2024,May,Wed
CB2,Amazonas-AM,Flamengo,0,1,Copa do Brasil - Round 3 - Second leg,2024-05-22 21:30:00,Arena da Amazônia-AM,22948,Copa do Brasil,Fora,Vitória,0,0,1,0,Sim,Não,30,2024,May,Wed
LIB6,Flamengo,Millonarios-COL,3,0,Copa Libertadores - Round 6,2024-05-28 21:00:00,Maracanã-RJ,64268,Copa Libertadores,Casa,Vitória,3,0,0,0,Sim,Não,31,2024,May,Tue
BR7,Vasco,Flamengo,1,6,Campeonato Brasileiro - Round 7,2024-06-02 16:00:00,Maracanã-RJ,62228,Campeonato Brasileiro,Fora,Vitória,0,0,6,1,Sim,Sim,32,2024,Jun,Sun
BR8,Flamengo,Grêmio,2,1,Campeonato Brasileiro - Round 8,2024-06-13 20:00:00,Maracanã-RJ,51785,Campeonato Brasileiro,Casa,Vitória,2,1,0,0,Sim,Sim,33,2024,Jun,Thu
BR9,Athletico-PR,Flamengo,1,1,Campeonato Brasileiro - Round 9,2024-06-16 16:00:00,Ligga Arena-PR,38641,Campeonato Brasileiro,Fora,Empate,0,0,1,1,Sim,Sim,34,2024,Jun,Sun
BR10,Flamengo,Bahia,2,1,Campeonato Brasileiro - Round 10,2024-06-20 20:00:00,Maracanã-RJ,49909,Campeonato Brasileiro,Casa,Vitória,2,1,0,0,Sim,Sim,35,2024,Jun,Thu
BR11,Fluminense,Flamengo,0,1,Campeonato Brasileiro - Round 11,2024-06-23 16:00:00,Maracanã-RJ,57098,Campeonato Brasileiro,Fora,Vitória,0,0,1,0,Sim,Não,36,2024,Jun,Sun
BR12,Juventude,Flamengo,2,1,Campeonato Brasileiro - Round 12,2024-06-26 20:00:00,Alfredo Jaconi-RS,12675,Campeonato Brasileiro,Fora,Derrota,0,0,1,2,Sim,Sim,37,2024,Jun,Wed
BR13,Flamengo,Cruzeiro,2,1,Campeonato Brasileiro - Round 13,2024-06-30 18:30:00,Maracanã-RJ,52768,Campeonato Brasileiro,Casa,Vitória,2,1,0,0,Sim,Sim,38,2024,Jun,Sun
BR14,Atlético-MG,Flamengo,2,4,Campeonato Brasileiro - Round 14,2024-07-03 21:30:00,MRV Arena-MG,39993,Campeonato Brasileiro,Fora,Vitória,0,0,4,2,Sim,Sim,39,2024,Jul,Wed
BR15,Flamengo,Cuiabá,1,1,Campeonato Brasileiro - Round 15,2024-07-06 20:00:00,Maracanã-RJ,54948,Campeonato Brasileiro,Casa,Empate,1,1,0,0,Sim,Sim,40,2024,Jul,Sat
BR16,Flamengo,Fortaleza,1,2,Campeonato Brasileiro - Round 16,2024-07-11 20:00:00,Maracanã-RJ,57500,Campeonato Brasileiro,Casa,Derrota,1,2,0,0,Sim,Sim,41,2024,Jul,Thu
BR17,Flamengo,Criciúma,2,1,Campeonato Brasileiro - Round 17,2024-07-20 16:00:00,Mané Garrincha-BR,60127,Campeonato Brasileiro,Casa,Vitória,2,1,0,0,Sim,Sim,42,2024,Jul,Sat
BR18,Vitória,Flamengo,1,2,Campeonato Brasileiro - Round 18,2024-07-24 20:00:00,Barradão-BA,30688,Campeonato Brasileiro,Fora,Vitória,0,0,2,1,Sim,Sim,43,2024,Jul,Wed
BR19,Flamengo,Atlético-GO,2,0,Campeonato Brasileiro - Round 19,2024-07-28 16:00:00,Maracanã-RJ,61883,Campeonato Brasileiro,Casa,Vitória,2,0,0,0,Sim,Não,44,2024,Jul,Sun
CB3,Flamengo,Palmeiras,2,0,Copa do Brasil - Round of 16 - First Leg,2024-07-31 20:00:00,Maracanã-RJ,59502,Copa do Brasil,Casa,Vitória,2,0,0,0,Sim,Não,45,2024,Jul,Wed
BR20,São Paulo,Flamengo,1,0,Campeonato Brasileiro - Round 20,2024-08-03 21:30:00,Morumbis-SP,58065,Campeonato Brasileiro,Fora,Derrota,0,0,0,1,Não,Sim,46,2024,Aug,Sat
CB4,Palmeiras,Flamengo,1,0,Copa do Brasil - Round of 16 - Second Leg,2024-08-07 20:00:00,Allianz Arena-SP,38463,Copa do Brasil,Fora,Derrota,0,0,0,1,Não,Sim,47,2024,Aug,Wed
BR21,Flamengo,Palmeiras,1,1,Campeonato Brasileiro - Round 21,2024-08-11 16:00:00,Maracanã-RJ,55051,Campeonato Brasileiro,Casa,Empate,1,1,0,0,Sim,Sim,48,2024,Aug,Sun
LIB7,Flamengo,Bolívar-BOL,2,0,Copa Libertadores - Round of 16 - First Leg,2024-08-15 21:30:00,Maracanã-RJ,65381,Copa Libertadores,Casa,Vitória,2,0,0,0,Sim,Não,49,2024,Aug,Thu
BR22,Botafogo,Flamengo,4,1,Campeonato Brasileiro - Round 22,2024-08-18 18:30:00,Nilton Santos-RJ,23731,Campeonato Brasileiro,Fora,Derrota,0,0,1,4,Sim,Sim,50,2024,Aug,Sun
LIB8,Bolívar-BOL,Flamengo,1,0,Copa Libertadores - Round of 16 - Second Leg,2024-08-22 21:30:00,Hernando Siles-BOL,29168,Copa Libertadores,Fora,Derrota,0,0,0,1,Não,Sim,51,2024,Aug,Thu
BR23,Flamengo,Bragantino,2,1,Campeonato Brasileiro - Round 23,2024-08-25 20:00:00,Maracanã-RJ,30225,Campeonato Brasileiro,Casa,Vitória,2,1,0,0,Sim,Sim,52,2024,Aug,Sun
CB5,Bahia,Flamengo,0,1,Copa do Brasil - Quarterfinals - First Leg,2024-08-28 21:30:00,Arena Fonte Nova-BA,46534,Copa do Brasil,Fora,Vitória,0,0,1,0,Sim,Não,53,2024,Aug,Wed
BR24,Corinthians,Flamengo,2,1,Campeonato Brasileiro - Round 24,2024-09-01 16:00:00,NeoQuímica Arena-SP,45635,Campeonato Brasileiro,Fora,Derrota,0,0,1,2,Sim,Sim,54,2024,Sep,Sun
CB6,Flamengo,Bahia,1,0,Copa do Brasil - Quarterfinals - Second Leg,2024-09-12 21:45:00,Maracanã-RJ,65662,Copa do Brasil,Casa,Vitória,1,0,0,0,Sim,Não,55,2024,Sep,Thu
BR25,Flamengo,Vasco,1,1,Campeonato Brasileiro - Round 25,2024-09-15 18:30:00,Maracanã-RJ,64524,Campeonato Brasileiro,Casa,Empate,1,1,0,0,Sim,Sim,56,2024,Sep,Sun
LIB9,Flamengo,Peñarol-URU,0,1,Copa Libertadores - Quarterfinals - First Leg,2024-09-19 19:00:00,Maracanã-RJ,64396,Copa Libertadores,Casa,Derrota,0,1,0,0,Não,Sim,57,2024,Sep,Thu
BR26,Grêmio,Flamengo,3,2,Campeonato Brasileiro - Round 26,2024-09-22 18:30:00,Arena do Grêmio-RS,18049,Campeonato Brasileiro,Fora,Derrota,0,0,2,3,Sim,Sim,58,2024,Sep,Sun
LIB10,Peñarol-URU,Flamengo,0,0,Copa Libertadores - Quarterfinals - Second Leg,2024-09-26 19:00:00,Campeón del Siglo-URU,38144,Copa Libertadores,Fora,Empate,0,0,0,0,Não,Não,59,2024,Sep,Thu
BR27,Flamengo,Athletico-PR,1,0,Campeonato Brasileiro - Round 27,2024-09-29 20:00:00,Maracanã-RJ,26812,Campeonato Brasileiro,Casa,Vitória,1,0,0,0,Sim,Não,60,2024,Sep,Sun
CB7,Flamengo,Corinthians,1,0,Copa do Brasil - Semifinals - First Leg,2024-10-02 21:45:00,Maracanã-RJ,47052,Copa do Brasil,Casa,Vitória,1,0,0,0,Sim,Não,61,2024,Oct,Wed
BR28,Bahia,Flamengo,0,2,Campeonato Brasileiro - Round 28,2024-10-05 20:00:00,Arena Fonte Nova-BA,43433,Campeonato Brasileiro,Fora,Vitória,0,0,2,0,Sim,Não,62,2024,Oct,Sat
BR29,Flamengo,Fluminense,0,2,Campeonato Brasileiro - Round 29,2024-10-17 20:00:00,Maracanã-RJ,55720,Campeonato Brasileiro,Casa,Derrota,0,2,0,0,Não,Sim,63,2024,Oct,Thu
CB8,Corinthians,Flamengo,0,0,Copa do Brasil - Semifinals - Second Leg,2024-10-20 16:00:00,NeoQuímica Arena-SP,46246,Copa do Brasil,Fora,Empate,0,0,0,0,Não,Não,64,2024,Oct,Sun
BR30,Flamengo,Juventude,4,2,Campeonato Brasileiro - Round 30,2024-10-27 16:30:00,Maracanã-RJ,60286,Campeonato Brasileiro,Casa,Vitória,4,2,0,0,Sim,Sim,65,2024,Oct,Sun
BR31,Internacional,Flamengo,1,1,Campeonato Brasileiro - Round 31,2024-10-30 19:00:00,Beira Rio-RS,43729,Campeonato Brasileiro,Fora,Empate,0,0,1,1,Sim,Sim,66,2024,Oct,Wed
CB9,Flamengo,Atlético-MG,3,1,Copa do Brasil - Final - First Leg,2024-11-03 16:00:00,Maracanã-RJ,67459,Copa do Brasil,Casa,Vitória,3,1,0,0,Sim,Sim,67,2024,Nov,Sun
BR32,Cruzeiro,Flamengo,0,1,Campeonato Brasileiro - Round 32,2024-11-06 21:00:00,Arena Independência-MG,20855,Campeonato Brasileiro,Fora,Vitória,0,0,1,0,Sim,Não,68,2024,Nov,Wed
CB10,Atlético-MG,Flamengo,0,1,Copa do Brasil - Final - Second Leg,2024-11-10 16:00:00,Arena MRV-MG,44876,Copa do Brasil,Fora,Vitória,0,0,1,0,Sim,Não,69,2024,Nov,Sun
BR33,Flamengo,Atlético-MG,0,0,Campeonato Brasileiro - Round 33,2024-11-13 20:00:00,Maracanã-RJ,63441,Campeonato Brasileiro,Casa,Empate,0,0,0,0,Não,Não,70,2024,Nov,Wed
BR34,Cuiabá,Flamengo,1,2,Campeonato Brasileiro - Round 34,2024-11-20 19:00:00,Arena Pantanal-MT,12891,Campeonato Brasileiro,Fora,Vitória,0,0,2,1,Sim,Sim,71,2024,Nov,Wed
BR35,Fortaleza,Flamengo,0,0,Campeonato Brasileiro - Round 35,2024-11-26 20:00:00,Arena Castelão-CE,56646,Campeonato Brasileiro,Fora,Empate,0,0,0,0,Não,Não,72,2024,Nov,Tue
BR36,Flamengo,Internacional,3,2,Campeonato Brasileiro - Round 36,2024-12-01 16:00:00,Maracanã-RJ,56571,Campeonato Brasileiro,Casa,Vitória,3,2,0,0,Sim,Sim,73,2024,Dec,Sun
BR37,Criciúma,Flamengo,0,3,Campeonato Brasileiro - Round 37,2024-12-04 20:00:00,Heriberto Hülse-SC,18849,Campeonato Brasileiro,Fora,Vitória,0,0,3,0,Sim,Não,74,2024,Dec,Wed
BR38,Flamengo,Vitória,2,2,Campeonato Brasileiro - Round 38,2024-12-08 16:00:00,Maracanã-RJ,67113,Campeonato Brasileiro,Casa,Empate,2,2,0,0,Sim,Sim,75,2024,Dec,Sun
